GO_ID	symbol
GO:0000278	ANLN
GO:0000278	PRDM5
GO:0000278	ASAH2
GO:0000278	AAAS
GO:0000278	TUBG2
GO:0000278	INIP
GO:0000278	RPRM
GO:0000278	FIRRM
GO:0000278	TMEM14B
GO:0000278	NUDT15
GO:0000278	EXOC1
GO:0000278	INTS13
GO:0000278	THAP1
GO:0000278	BABAM1
GO:0000278	NDE1
GO:0000278	TUBA8
GO:0000278	ETAA1
GO:0000278	SPHK1
GO:0000278	DACT1
GO:0000278	ANAPC11
GO:0000278	Q9NYG6
GO:0000278	MAP3K20
GO:0000278	DONSON
GO:0000278	RTEL1
GO:0000278	DTL
GO:0000278	NOP53
GO:0000278	PIM2
GO:0000278	KIAA1493
GO:0000278	RCC2
GO:0000278	BCCIP
GO:0000278	MAP10
GO:0000278	KANSL3
GO:0000278	HECW2
GO:0000278	WRAP73
GO:0000278	HECA
GO:0000278	SPAST
GO:0000278	DBF4
GO:0000278	TUBGCP4
GO:0000278	SUN2
GO:0000278	ADAMTS1
GO:0000278	MAD2L2
GO:0000278	LCMT1
GO:0000278	BAZ1B
GO:0000278	KIF25
GO:0000278	TUBE1
GO:0000278	TUBD1
GO:0000278	FBXL7
GO:0000278	CDC23
GO:0000278	ANAPC7
GO:0000278	ANAPC5
GO:0000278	ANAPC2
GO:0000278	CPSF3
GO:0000278	FBXO5
GO:0000278	PSME2
GO:0000278	INO80
GO:0000278	AKAP8L
GO:0000278	FZR1
GO:0000278	ANAPC10
GO:0000278	CDC14A
GO:0000278	TIMELESS
GO:0000278	GPR132
GO:0000278	PHF8
GO:0000278	TRIM35
GO:0000278	EXOC7
GO:0000278	USP22
GO:0000278	CDK11A
GO:0000278	AURKC
GO:0000278	SMC3
GO:0000278	CAMK2A
GO:0000278	NUDC
GO:0000278	DRG1
GO:0000278	EXOC6B
GO:0000278	SBDS
GO:0000278	KNSTRN
GO:0000278	L3MBTL1
GO:0000278	PPME1
GO:0000278	CTDP1
GO:0000278	DMRT1
GO:0000278	IER3IP1
GO:0000278	PARP3
GO:0000278	DYNC1LI1
GO:0000278	USH1C
GO:0000278	CCDC61
GO:0000278	MYO16
GO:0000278	NBS1
GO:0001525	A0A024R6G3
GO:0001525	FGF2
GO:0001525	VEGFA
GO:0001525	RNF213
GO:0001525	CYBB
GO:0001525	JUP
GO:0001525	ROCK1
GO:0001525	A0A0Y0IMM4
GO:0001525	ACKR3
GO:0001525	A0A140VJU3
GO:0001525	FLJ12505
GO:0001525	A0A140VKF3
GO:0001525	ROCK2
GO:0001525	CTNNB1
GO:0001525	ADGRB1
GO:0001525	A0A384NPR0
GO:0001525	A0A384P5C6
GO:0001525	THBS2
GO:0001525	ITGB2
GO:0001525	ITGB1
GO:0001525	ADGRB3
GO:0001525	ITGA5
GO:0001525	TEK
GO:0001525	EPHB4
GO:0001525	FGF1
GO:0001525	PML
GO:0001525	SERPINF1
GO:0001525	CNMD
GO:0001525	MTDH
GO:0001525	HRG
GO:0001525	THBS1
GO:0001525	MMRN2
GO:0001525	NRP1
GO:0001525	KRIT1
GO:0001525	VASH2
GO:0001525	E2F7
GO:0001525	SRF
GO:0001525	KDR
GO:0001525	E2F8
GO:0001525	PRKD2
GO:0001525	PTPRB
GO:0001525	ADGRB2
GO:0001525	CD36
GO:0001525	MEIS3P1
GO:0001525	GREM1
