marker,HSPE1,HSP90AA1,HSPD1,STOML2,CYCS,MRPL12,TIMM13,C1QBP,MRPS12,TOMM40,CYC1,CHCHD2,GCSH,MRPL57,GADD45GIP1
AXL,-0.02663704471726849,-0.04535309951558293,0.03536500818240947,-0.030729225302291083,-0.052832430461418244,-0.018735563786911463,-0.02430374116790457,0.034646270282516343,-0.03496933222345441,-0.05530808048017484,0.030523331448936316,-0.0029329575354136695,-0.014346888512516956,-0.03149170049204703,-0.010532534003554654
CD44,0.2144175493932672,0.1748953677875013,0.1307170393386118,0.15122161242587243,0.16168592338645213,0.11958825434203127,0.14608429489534067,0.11387395411317766,0.11551340953521272,0.12192699903333311,0.07457059609394924,0.11550447819295015,0.12568268734797317,0.09460313005504449,0.10761158538308428
CLDN4,0.021169815798540523,0.011982437185237118,0.010394893068719132,0.02106194580486723,0.014954121757549498,0.013316289946657251,0.015622826642819358,0.013817339626048801,0.0166497069218406,0.01306927295384944,0.002093313264266688,0.0007523219048573944,0.013065961195691816,0.010481496349784222,0.010974681404315631
CLDN7,-0.027137532226572596,-0.025732809079352038,-0.059471944867716335,-0.025014503390738532,-0.007909739141381765,-0.03441618060145156,-0.03048053572363199,-0.04904210852002879,-0.020186890264932505,-0.021167408192369362,-0.04706066786572282,-0.016503043212611927,-0.027043521352656873,-0.027472839509632054,-0.020511761204405083
KRT8,0.039107864686606965,-0.058458729356172114,-0.03391029884147162,-0.0019493992104717066,0.030069335146705563,0.01502334887825937,0.04912347359329337,0.0010484668747824434,0.04568845509193338,0.025814460962803,-0.03615401380759064,-0.040519250785631324,0.015432814162093824,0.049869859678544064,-0.023147629667551767
CD24,0.14860505362454862,0.14363363397743983,0.31819121966710556,0.13606562542599868,0.05049602321230127,0.15397546539476642,0.12839185306694548,0.2685246393536083,0.06265455002118737,0.09722873256593363,0.2425463822991194,0.11117090717059532,0.14272843834811758,0.14185178756040737,0.08258831930279363
TJP1,-0.023630003218832126,-0.0027566034412592577,0.049387024777796246,-0.02311730331165885,-0.04538012560118732,0.003105852783371967,0.0025323315154874558,0.04492809478942068,-0.02927180326192685,-0.02929494557182697,0.05220974965305549,0.00257579638124526,-0.017042006365133932,-0.014913276783543233,-0.006801291204834154
DSP,0.036014402069017785,0.06141868507572476,0.002477433809485478,0.04538795067381598,0.05534457021909196,0.03461479161693728,0.059063107372100354,0.029950425701141054,0.052113290870509386,0.05123170495676913,0.005841403259982598,0.009905373877160874,0.04189358820454753,0.03582914671793978,0.009174534012556008
GRHL2,-0.00809421510586707,-0.013583842086058819,-0.005294848236071212,-0.004155237736648759,-0.003567350077227361,-0.0067819489284347365,0.0006274878950589193,-0.014107488514360377,-0.002322737222199959,-0.00486455736593989,-0.013188035954799315,0.009304379710498195,0.004376630511398094,-0.013918548159415914,-0.003129745339213577
ESRP1,-0.0065012476184281515,0.0038285994989391836,-0.009915368767501724,0.007771458338815541,0.011186422992874747,0.0061437897235905375,-0.004901206595694342,-0.004655497430922217,-0.006025973154960786,0.00884376825103838,-0.010231054249409031,-0.007135207647031465,-4.072877596673315e-05,-0.002859603870596186,0.012747472104301109
