gene,mitochondrial,mtdna_encoded,reference_only,mean_log_expr_training,clamp_delta,score_emt,score_migration_independent,score_invasion_independent,score_epithelial,z_emt,z_migration_independent,z_invasion_independent,z_epithelial,z_combined,z_combined_count_only,z_combined_quintile,z_combined_half_a,z_combined_half_b,p_empirical,fdr_bh,spearman_with_epithelial_state,direction_primary,direction_count_only,direction_quintile,stable_halves,called
CRLS1,True,False,False,0.37314091928903803,-0.39225580071216076,0.004229230200379194,0.0025809765408049625,0.003028257766169948,0.0071759382086255775,-0.021538609024922068,-0.10808638233816176,-0.12597336249959667,0.15633018190050604,-0.41192853576318655,-0.4448825747023709,-0.2384737817930836,-0.2123696431599723,-0.6092826515311236,0.5862282878411911,0.7847597600646542,0.027592318692519636,False,False,False,False,False
MRPS31,True,False,False,0.08211532519209247,-0.09372781154406695,0.00249641315625341,0.0009522685614270108,0.002323323113353504,0.0014662259846583404,-0.10230276108167373,-0.28428940160499894,-0.16570147202583632,-0.14029777089753706,-0.411995863814972,-0.4223351017704674,0.2408008858090856,-0.3342569747738542,-0.5447020572552246,0.5862282878411911,0.7847597600646542,0.05565877075700654,False,False,False,False,False
USP8,True,False,False,0.2623547838527582,-0.2784592447748476,0.004023776409549423,0.0010936466555720615,0.0017173817737965542,0.002507498187363305,-0.031114519684078294,-0.2689943042873918,-0.19985060032902835,-0.08620214756693206,-0.4137572767335664,-0.4297432840622672,-0.27577393564987673,-0.5412080876326102,-0.2897968841338753,0.586848635235732,0.7847597600646542,0.05475740583224445,False,False,False,False,False
DLD,True,False,False,0.16485768736429088,-0.1882975522125791,0.002289531689998133,0.0006781207851786334,0.0013914417808809777,-0.00020123395405990518,-0.11194521367354243,-0.31394828859510426,-0.2182196501208018,-0.2269247686503369,-0.41718838373911166,-0.431060328972524,-0.13341805730654588,-0.42853574287936624,-0.42935552121708853,0.586848635235732,0.7847597600646542,0.06340279053137206,True,True,False,False,False
PIGBOS1,True,False,False,0.11035579694092061,-0.12746068390375787,0.0033423254313354016,0.0015157828994477698,0.002079497601770718,0.0032622311873488448,-0.06287598614141324,-0.2233251716653056,-0.1794427834945671,-0.04699265750627839,-0.41865128379500754,-0.4349907162741344,0.19318162821483237,-0.3766177821917016,-0.49337995990877825,0.5874689826302729,0.7847597600646542,0.06212755190267069,False,False,False,False,False
YARS2,True,False,False,0.125855128088054,-0.14064139085051466,0.0033615144252750525,0.0009293922629326811,0.0016561373225095419,0.0016015403758606716,-0.061981614268969004,-0.28676429146578897,-0.2033021631921728,-0.13326798913761287,-0.41878007978931786,-0.4258572592406331,0.37676301457452677,-0.3916645564317452,-0.481183562322518,0.5874689826302729,0.7847597600646542,0.08529951216052993,False,False,False,False,False
THG1L,True,False,False,0.1593374658179291,-0.19071646909590106,0.0060149998916395305,0.0008294522703464476,0.001212201416277127,0.0033476151478062863,0.06169359103463542,-0.297576376051956,-0.22832112663079415,-0.04255683510423761,-0.4216470765438771,-0.4230701051641608,0.07987937710398971,-0.41499482589795594,-0.45318380665434255,0.5880893300248139,0.7847597600646542,0.10593467245096616,False,False,False,False,False
LPIN1,True,False,False,0.23464271010684415,-0.2531714321182917,0.0015056575097013416,0.0016314827410076375,0.0023938802270458536,0.00230091585684344,-0.14848048074369716,-0.2108080957562592,-0.16172507403004238,-0.09693440365667573,-0.424079246873323,-0.45093292622681286,-0.1838664129591313,-0.5048758520498522,-0.35351936454051686,0.5880893300248139,0.7847597600646542,0.06395494776503258,False,False,False,False,False
PMPCA,True,False,False,0.11485725003643096,-0.12857717324522083,0.0032141219842393804,0.0011321213453535973,0.0017924591076305704,0.0021415149399348033,-0.06885136751855483,-0.26483189052709893,-0.1956194555986919,-0.10521551587425204,-0.4240871977700936,-0.43409330036028043,0.1270160065655077,-0.4798370069487439,-0.3831324832881743,0.5880893300248139,0.7847597600646542,0.059736763595990096,False,False,True,False,False
CLPX,True,False,False,0.08990020661218423,-0.10179309689411305,0.002683914981002958,0.0009091502740218643,0.00239820116191757,0.0019008169046127584,-0.09356356617571016,-0.28895418652814014,-0.16148155844579148,-0.11772013303523401,-0.42627917811440774,-0.4362133716808447,0.0016409784992539589,-0.4009374318691602,-0.508352149053818,0.5880893300248139,0.7847597600646542,0.05057679799170588,False,False,False,False,False
ERAL1,True,False,False,0.096804824895415,-0.11481314302423394,0.0035518999769428633,0.0015565188222036858,0.001863143011632032,0.0034513504794617443,-0.05310801292921241,-0.21891812468506397,-0.1916359120621487,-0.03716763196145569,-0.42649441771496943,-0.4407078678301189,0.6545049673214114,-0.48124206260174063,-0.4186439255473178,0.5880893300248139,0.7847597600646542,0.06890802266721721,False,False,False,False,False
COQ4,True,False,False,0.2780783759805629,-0.3025670215898947,0.002962932617619647,0.0009212395461629402,0.0016125639010382894,0.001330499009118779,-0.08055894869077851,-0.287646299369136,-0.20575783713829912,-0.14734898702096477,-0.4266140981772488,-0.44967177507928024,-0.3079362010184741,-0.4854260969138311,-0.3805413684351674,0.5880893300248139,0.7847597600646542,0.05176193896493047,False,False,False,False,False
MCCC1,True,False,False,0.0587685638785456,-0.07027585710001995,0.0020968675844673925,0.0007783457418909892,0.001511446563780046,0.00015109926709352552,-0.12092501518675587,-0.30310537494685774,-0.21145652230514,-0.20862053929622332,-0.42686637314253034,-0.45789146644915324,0.302631130709086,-0.4907549254240181,-0.44187819982530574,0.5880893300248139,0.7847597600646542,0.08156131440170182,False,False,False,False,False
NDUFA7,True,False,False,0.12865329464363126,-0.1472187858553236,0.0034109155236179637,0.0013758500972154198,0.0016947329930941742,0.002838754406515068,-0.05967909893311004,-0.23846390897119532,-0.20112702111042272,-0.06899289948501486,-0.4302771295297132,-0.4416252800119668,0.22932491856852133,-0.36445722318983587,-0.5287671191327526,0.5880893300248139,0.7847597600646542,0.0637441845843242,False,False,False,False,False
METTL17,True,False,False,0.09432679233710967,-0.11014959015585721,0.002186825025520902,0.0011647857958704305,0.002401541407298188,0.0021205836353232503,-0.11673222606772495,-0.26129806194847527,-0.1612933117284603,-0.10630292795261476,-0.43302067179204573,-0.4425039207942271,-0.03302127034011871,-0.4465492377990153,-0.462334898277455,0.5887096774193549,0.7847597600646542,0.03534202362542305,False,False,False,False,False
NDUFA2,True,False,False,0.8533068979114219,-0.8453294926711171,-0.0003118487934959768,0.002350733644034839,-0.0014051936761866426,-0.0017066572502695593,-0.23319187940701586,-0.13299538633968513,-0.37583006024810484,-0.30513372436174724,-0.4368836016330586,-0.4497317500641717,-0.3788093399797834,-0.33027516989144634,-0.5389302406709302,0.5911910669975186,0.7847597600646542,0.0032477968853898134,False,False,False,False,False
ATG4D,True,False,False,0.09951322097959406,-0.1277301053481536,0.0031542102379707696,0.001047722987830803,0.002637750612206199,0.003080842060527225,-0.07164376929116366,-0.2739625914292693,-0.14798123361427096,-0.05641608958803341,-0.43717150474667055,-0.44995797108379587,0.0889033042761351,-0.44313061555693084,-0.4766297925323312,0.5911910669975186,0.7847597600646542,0.07101675784441773,False,False,False,False,False
MRPS27,True,False,False,0.20355565265034886,-0.22399952848979834,0.005702526236329275,0.0013457749272496335,0.0021680756053538636,0.005488586344923307,0.047129635828424644,-0.2417176142517201,-0.17445077946425427,0.06866976937060844,-0.4377085272581581,-0.443134006627546,-0.4469395402375974,-0.3265802688653072,-0.5637026879577567,0.5911910669975186,0.7847597600646542,0.10402377631217091,False,False,False,False,False
TRNT1,True,False,False,0.06316370443924103,-0.06771282504995378,0.0018287568490634731,0.001083035971477341,0.0020667417397009615,0.0015135096310829434,-0.1334212774295676,-0.2701422292669761,-0.18016166755479054,-0.1378413158802628,-0.4458838583710715,-0.45650832712739575,0.18956958178689773,-0.4633764425494009,-0.4932190676377226,0.5936724565756824,0.7847597600646542,0.04833391928983254,False,False,False,False,False
MRPL30,True,False,False,0.1095348665065943,-0.12969679699648318,0.0017954842882189285,0.0009545410986944727,0.0024386879612487544,0.0016771950154372429,-0.13497206443993084,-0.28404354542145144,-0.15919983773342497,-0.12933761927359905,-0.4488778283212082,-0.4733753948379472,0.08254288286968735,-0.4895534776015854,-0.4437251918883941,0.5942928039702233,0.7847597600646542,0.0546662447991152,False,False,False,False,False
NDUFAF5,True,False,False,0.06837225778769634,-0.08431465575660209,0.002081366108491726,0.0008079408522802726,0.0024576863593152995,0.0017559161954348091,-0.12164751706140384,-0.2999036052790265,-0.15812914212185977,-0.12524793812180546,-0.4544323263404847,-0.465799873342576,0.10496893026751472,-0.48997746162103595,-0.47879048898115917,0.5955334987593052,0.7847597600646542,0.04767396540560971,False,False,False,False,False
EXOG,True,False,False,0.1274281491132324,-0.14274410453500366,0.0014511027385379163,0.0014917581783182915,0.002975738164597656,0.0031785748014304727,-0.1510232014819313,-0.2259243045078147,-0.12893321767936722,-0.05133872986860978,-0.4545419938005034,-0.47015805210549133,0.26514041346425493,-0.551931142270739,-0.38859991846833597,0.5955334987593052,0.7847597600646542,0.031040772733787633,False,False,False,False,False
COX19,True,False,False,0.17009128536829887,-0.18495401161583744,0.0032376284468012937,0.0017381801905344881,0.002358712963193277,0.004629506132762329,-0.06775576453894282,-0.19926495051920912,-0.16370700087175935,0.024039288073678958,-0.45476700400359027,-0.4585179079893208,-0.004165919930110146,-0.5296862423562686,-0.3962665378849697,0.5955334987593052,0.7847597600646542,0.061757093585558295,False,False,False,False,False
FANCG,True,False,False,0.07109426872088354,-0.08804178009918816,0.0021394613414810956,0.0013597357599378775,0.0026698508427547957,0.0031974169243327646,-0.11893978040401597,-0.24020725088253753,-0.14617215603529676,-0.05035985385461121,-0.4549593334672391,-0.4762664251804976,0.3137942047613985,-0.5234580080110154,-0.44459733997702,0.5955334987593052,0.7847597600646542,0.051647747405499926,False,False,False,False,False
YME1L1,True,False,False,0.32719562166271954,-0.3359537641961953,0.0014436301185010746,0.0011738518865531979,0.0014595132151746086,0.0008943525903140986,-0.15137148973484507,-0.2603172399893045,-0.21438333793722447,-0.17000743533770654,-0.45606463232366745,-0.466463976504368,-0.6463406726174115,-0.7457866606336754,-0.17033104612344535,0.5955334987593052,0.7847597600646542,0.01012815922490515,False,False,False,False,False
RMDN3,True,False,False,0.09216076294798393,-0.1080507247858443,0.0011841789577716187,0.0011153090422191634,0.0014024573863749463,0.000530121944649783,-0.16346414144755148,-0.2666507424088512,-0.21759884196530294,-0.18892975340414073,-0.45878397241756486,-0.4780430584292994,0.13811576170280535,-0.46566070654861547,-0.4924211482442623,0.5961538461538461,0.7847597600646542,0.0146472525433719,False,False,False,False,False
PTCD3,True,False,False,0.12108578576462138,-0.13823733150495543,0.003347532141866135,0.0008439162826691744,0.0025809136728752605,0.0031863132438905276,-0.06263330872636519,-0.29601157580891274,-0.15118440165524358,-0.05093670639444306,-0.45889257979607845,-0.47723016227060533,0.3821656848060475,-0.5911197164753466,-0.3707808797058332,0.5961538461538461,0.7847597600646542,0.081910983371124,False,False,False,False,False
MPV17L2,True,False,False,0.06995144633333909,-0.08909190881407393,0.001098664384725337,0.0011092900081218385,0.0023823644974479865,0.0015352018914530107,-0.16744985477140817,-0.267301916219287,-0.16237406775578814,-0.13671437103037606,-0.4604114677161072,-0.4693519519582414,-0.15457509991286694,-0.49585575429823103,-0.48277869361544223,0.5961538461538461,0.7847597600646542,0.04366212957015818,False,False,False,False,False
GRPEL2,True,False,False,0.06479347928389156,-0.0892087362713623,0.003527045794363091,0.0008499854179489558,0.00216981980460484,0.0029646531912361327,-0.05426643123305113,-0.2953549817637084,-0.174352481361584,-0.06245227233837686,-0.46152162201996666,-0.4741032509761025,-0.3450450814221071,-0.5077806519574255,-0.478229598021242,0.5961538461538461,0.7847597600646542,0.08079121049374506,False,False,False,False,False
TP53,True,False,False,0.36892808633944824,-0.4583984079088888,0.00523214388849592,0.001505266157694728,0.00319870423379571,0.007020141603216209,0.02520577976179002,-0.22446293342075746,-0.11636748498010958,0.14823631896964276,-0.4638609576087198,-0.4682214539247018,-0.23227251101887803,-0.5668930805721035,-0.3477025389906966,0.5961538461538461,0.7847597600646542,0.0064741850687147955,False,False,False,False,False
NUDT9,True,False,False,0.08608901629316686,-0.08959125728659764,0.0012695015586296468,0.0010541564424065045,0.0016509430425503588,0.0008738104660336091,-0.15948737567592214,-0.27326658322220715,-0.20359489801844913,-0.17107462892512884,-0.4652742279914496,-0.4815273912324803,0.282061065714459,-0.516889876224419,-0.42485394922353364,0.5967741935483871,0.7847597600646542,0.036353211781712955,False,False,False,False,False
SOD2,True,False,False,0.319769205106753,-0.3678790590092817,0.0077411314155125055,-0.001119324880612469,-0.0019560883700276022,-0.001692982327607736,0.14214614044637228,-0.5084063236085048,-0.4068769163600808,-0.30442329200461,-0.46871380751760333,-0.47035313767488135,-0.23629145011460145,-0.3874109516522139,-0.5404809742693448,0.597394540942928,0.7847597600646542,0.07060350107785043,False,False,False,False,False
SLC30A9,True,False,False,0.20059019901578512,-0.21814359403193684,0.003709296624957815,0.001259901103514497,0.0017707199715593608,0.003709761283428876,-0.04577197773923316,-0.25100793959530826,-0.19684461139915121,-0.023742810402163993,-0.46988171833152864,-0.4850074942945771,-0.45440171737414614,-0.320458308998854,-0.6259512246603622,0.598014888337469,0.7847597600646542,0.06746801194205497,False,False,False,False,False
SLC25A17,True,False,False,0.07296636782835028,-0.09453315143800721,0.002048488426854216,0.0007348069038474206,0.001577080606986817,0.0009989393752210156,-0.1231798993103244,-0.3078156574626815,-0.2077575745420379,-0.16457399794546046,-0.4741791333695834,-0.48830125797244806,-0.1286859832397415,-0.5016984791049225,-0.4981296793446127,0.5998759305210918,0.7847597600646542,0.07709051427664189,False,False,True,False,False
