GO_ID	symbol
GO:0007409	SEMA4G
GO:0007409	CELSR1
GO:0007409	CELSR3
GO:0007409	NLGN3
GO:0007409	FLRT3
GO:0007409	DIP2B
GO:0007409	TENM3
GO:0007409	SEMA5B
GO:0007409	IGSF9
GO:0007409	MYOT
GO:0007409	B4GALT6
GO:0007409	EPHA6
GO:0007409	FEZ2
GO:0007409	EVL
GO:0007409	SCN11A
GO:0007409	METRN
GO:0007409	ANAPC2
GO:0007409	TENM1
GO:0007409	RAB21
GO:0007409	TAOK2
GO:0007409	TRPC5
GO:0007409	NRXN1
GO:0007409	VANGL2
GO:0007409	PLXNB3
GO:0007409	NOTCH3
GO:0007409	NOVA2
GO:0007409	MACF1
GO:0007409	TRAK1
GO:0007409	CNTN6
GO:0007409	BAIAP2
GO:0007409	RNF6
GO:0007409	NTNG1
GO:0007409	NRXN3
GO:0007409	PLXND1
GO:0007409	AFG3L2
GO:0007409	TRPV2
GO:0007409	NPTN
GO:0007409	HEL-S-36
GO:0007409	HEL113
GO:0007411	DSCAM
GO:0007411	SLIT2
GO:0007411	ROBO1
GO:0007411	GDNF
GO:0007411	A0A384N611
GO:0007411	VEGFA
GO:0007411	ROBO2
GO:0007411	NRP1
GO:0007411	DRAXIN
GO:0007411	SEMA3A
GO:0007411	SEMA3F
GO:0007411	PLXNA3
GO:0007411	SLIT1
GO:0007411	A8K9V7
GO:0007411	NRP2
GO:0007411	ATOH7
GO:0007411	PGRMC1
GO:0007411	O00364
GO:0007411	NTN3
GO:0007411	NFIB
GO:0007411	SEMA3E
GO:0007411	EPHB6
GO:0007411	PLA2G10
GO:0007411	EFNA2
GO:0007411	KALRN
GO:0007411	KIF5C
GO:0007411	GFRA3
GO:0007411	OPHN1
GO:0007411	SLIT3
GO:0007411	SEMA7A
GO:0007411	RPS6KA5
GO:0007411	MYCBP2
GO:0007411	KLF7
GO:0007411	TRIO
GO:0007411	CNTN5
GO:0007411	NFASC
GO:0007411	SEMA3D
GO:0007411	UNC5C
GO:0007411	LYPLA2
GO:0007411	NTN1
GO:0007411	SEMA4F
GO:0007411	LGI1
GO:0007411	NTRK1
GO:0007411	APP
GO:0007411	EDN1
GO:0007411	FYN
GO:0007411	CSF1R
GO:0007411	RET
GO:0007411	GLI2
GO:0007411	NCAM1
GO:0007411	EDN3
GO:0007411	CHN1
GO:0007411	GAP43
GO:0007411	EFNA1
GO:0007411	ANOS1
GO:0007411	BDNF
GO:0007411	EDNRA
GO:0007411	PTPRM
GO:0007411	EPHA3
GO:0007411	EPHA8
GO:0007411	EPHB2
GO:0007411	L1CAM
GO:0007411	OTX2
GO:0007411	RYK
GO:0007411	BSG
GO:0007411	WNT5A
GO:0007411	ECE1
GO:0007411	DCC
GO:0007411	NOTCH1
GO:0007411	CXCL12
GO:0007411	LHX1
GO:0007411	VASP
GO:0007411	EFNA3
GO:0007411	EFNA4
GO:0007411	EFNB2
GO:0007411	EFNA5
GO:0007411	EPHB3
GO:0007411	EPHA5
GO:0007411	EPHB1
GO:0007411	EPHA4
GO:0007411	FGF8
GO:0007411	WNT7B
GO:0007411	RAC3
GO:0007411	LMO4
GO:0007411	RAC1
GO:0007411	RELN
GO:0007411	ADAM17
GO:0007411	EFNB1
GO:0007411	CNTN2
GO:0007411	NOTCH2
GO:0007411	PRKCQ
GO:0007411	PTK2
GO:0007411	SCN1B
GO:0007411	SOS1
GO:0007411	NEXN
GO:0007411	POU4F2
GO:0007411	CNTN1
GO:0007411	PTPRJ
GO:0007411	PPP1R8
GO:0007411	SEMA3B
GO:0007411	PTK7
GO:0007411	CDK5R2
GO:0007411	TUBB3
GO:0007411	SEMA5A
GO:0007411	PTCH1
GO:0007411	ALCAM
GO:0007411	BMPR2
GO:0007411	DAG1
GO:0007411	CDK5R1
GO:0007411	NECTIN1
GO:0007411	EPHA7
GO:0007411	SHH
GO:0007411	EFNB3
GO:0007411	PTPRO
GO:0007411	RIC1
GO:0007411	PLEKHG4
GO:0007411	Q59F20
GO:0007411	Q59G50
GO:0007411	Q59GH3
GO:0007411	KIAA1755
GO:0007411	EPHA10
GO:0007411	DKFZp781F1414
GO:0007411	TENM4
GO:0007411	EMB
GO:0007411	UNC5D
GO:0007411	UNC5A
GO:0007411	ARK2C
GO:0007411	CYFIP1
GO:0007411	DKFZp686J1169
GO:0007411	KIF21A
GO:0007411	MEGF8
GO:0007411	MYPN
GO:0007411	ARHGEF25
GO:0007411	SIAH1
GO:0007411	CNTN4
GO:0007411	UNC5B
GO:0007411	ENAH
GO:0007411	HMCN2
GO:0007411	SEMA6D
GO:0007411	DSCAML1
GO:0007411	ARHGEF40
GO:0007411	USP33
GO:0007411	PALLD
GO:0007411	ROBO4
GO:0007411	TNR
GO:0007411	NRCAM
GO:0007411	SEMA4D
GO:0007411	NEO1
GO:0007411	CYFIP2
GO:0007411	ROBO3
GO:0007411	PLEKHG4B
GO:0007411	NELL2
GO:0007411	FEZ1
GO:0007411	SMO
GO:0007411	SEMA3C
GO:0007411	DPYSL5
GO:0007411	TUBB2B
GO:0007411	BOC
GO:0007411	YTHDF1
GO:0007411	SEMA4C
GO:0007411	SEMA6A
GO:0007411	SEMA4A
GO:0007411	SEMA6C
GO:0007411	SEMA6B
GO:0007411	NTN4
GO:0007411	LGR6
GO:0007411	PLXNA4
GO:0007411	PTPRH
GO:0007411	FZD3
GO:0007411	SEMA4B
GO:0007411	LHX9
GO:0007411	ARHGAP35
GO:0007411	SEMA3G
GO:0007411	TENM2
GO:0007411	SEMA4G
GO:0007411	CELSR3
GO:0007411	FLRT3
GO:0007411	TENM3
GO:0007411	SEMA5B
GO:0007411	IGSF9
GO:0007411	MYOT
GO:0007411	EPHA6
GO:0007411	FEZ2
GO:0007411	EVL
GO:0007411	TENM1
GO:0007411	NRXN1
GO:0007411	VANGL2
GO:0007411	NOTCH3
GO:0007411	NOVA2
GO:0007411	CNTN6
GO:0007411	NRXN3
GO:0007411	NPTN
GO:0019227	CNTNAP1
GO:0019227	SCN1B
GO:0019228	NALF1
GO:0019228	TRPA1
GO:0019228	KCNK2
GO:0019228	CHRNA1
GO:0019228	GBA1
GO:0019228	KCNA2
GO:0019228	NPR2
GO:0019228	GRIA1
GO:0019228	MTOR
GO:0019228	NPY2R
GO:0019228	MTNR1B
GO:0019228	P2RX1
GO:0019228	FGF12
GO:0019228	FMR1
GO:0019228	KCNA1
GO:0019228	ANK3
GO:0019228	SCN9A
GO:0019228	KCNMB1
GO:0019228	MYH14
GO:0019228	KCNMB4
GO:0019228	SCN4B
GO:0019228	NALCN
GO:0019228	UNC80
GO:0019228	SCN2A
GO:0019228	GPER1
GO:0019228	KCNMB3
GO:0019228	ASIC5
GO:0019228	KCNK4
GO:0019228	KCND2
GO:0019228	UNC79
GO:0019228	SCN11A
GO:0019228	KCNMB2
GO:0023041	PPAN-P2RY11
GO:0023041	MACO1
GO:0023041	CLU
GO:0023041	NRXN1
GO:0023041	KCNA1
GO:0023041	NLGN1
GO:0023041	P2RY11
GO:0023041	OLFM1
GO:0023041	RTN4R
GO:0023041	Q9H5V1
GO:0031102	CTNNA1
GO:0031102	FIGNL2
GO:0031102	THY1
GO:0031102	B4DT57
GO:0031102	PTPRS
GO:0031102	RTCA
GO:0031102	JAK2
GO:0031102	CSPG5
GO:0031102	DHFR
GO:0031102	APOD
GO:0031102	APOA4
GO:0031102	MMP2
GO:0031102	SPP1
GO:0031102	FOLR1
GO:0031102	PTN
GO:0031102	OMG
GO:0031102	CNTF
GO:0031102	GRN
GO:0031102	TSPO
GO:0031102	MAP1B
GO:0031102	EPHA4
GO:0031102	ISL1
GO:0031102	DAG1
GO:0031102	SCARF1
GO:0031102	NREP
GO:0031102	HEL-S-95
GO:0031102	KIAA0319
GO:0031102	STK24
GO:0031102	RTN4RL1
GO:0031102	RTN4RL2
GO:0031102	PUM2
GO:0031102	RGMA
GO:0031102	CERS2
GO:0031102	KREMEN1
GO:0031102	MTR
GO:0031102	RTN4R
GO:0031102	MAPK8IP3
GO:0031102	INPP5F
GO:0031103	CTNNA1
GO:0031103	FIGNL2
GO:0031103	B4DT57
GO:0031103	PTPRS
GO:0031103	RTCA
GO:0031103	JAK2
GO:0031103	CSPG5
GO:0031103	DHFR
GO:0031103	APOD
GO:0031103	APOA4
GO:0031103	MMP2
GO:0031103	SPP1
GO:0031103	FOLR1
GO:0031103	PTN
GO:0031103	CNTF
GO:0031103	GRN
GO:0031103	TSPO
GO:0031103	MAP1B
GO:0031103	EPHA4
GO:0031103	ISL1
GO:0031103	DAG1
GO:0031103	SCARF1
GO:0031103	NREP
GO:0031103	HEL-S-95
GO:0031103	KIAA0319
GO:0031103	STK24
GO:0031103	RTN4RL1
GO:0031103	RTN4RL2
GO:0031103	PUM2
GO:0031103	RGMA
GO:0031103	CERS2
GO:0031103	KREMEN1
GO:0031103	MTR
GO:0031103	RTN4R
GO:0031103	MAPK8IP3
GO:0031103	INPP5F
GO:0097374	NRP1
GO:0097374	NRP2
GO:0097491	NRP1
GO:0097491	NRP2
GO:0097491	SEMA3F
GO:0097491	SEMA3A
GO:0097492	EDN1
GO:0097492	EDNRA
GO:0097492	ECE1
GO:0097492	PLXNA4
GO:1902667	ATOH7
GO:1902667	MYCBP2
GO:1902667	SLIT2
GO:1902667	POU4F2
GO:1902667	PTPRO
GO:1902667	KIF21A
GO:1902667	ROBO3
GO:1902667	TUBB2B
GO:1902667	YTHDF1
GO:1902667	NOVA2
GO:1902847	CLU
GO:1904340	DKK1
GO:1904340	FGF20
GO:1904457	GBA1
GO:2001222	GPR56
GO:2001222	NSMF
GO:2001222	SHTN1
GO:2001222	NELF
GO:2001222	B4DFY3
GO:2001222	B4E176
GO:2001222	B7Z8V3
GO:2001222	B7Z9T1
GO:2001222	SOCS7
GO:2001222	ZNF609
GO:2001222	PLXNB2
GO:2001222	WDR62
GO:2001222	SRGAP2
GO:2001222	COL3A1
GO:2001222	SRGAP2C
GO:2001222	FLNA
GO:2001222	MDK
GO:2001222	CTNNA2
